period_month,transaction_type,wifi_subsidy,operating_compensation,operating_expense,operating_material,utilities,ms365_subsidy,staff_salary_special,staff_salary_government,equipment_under_1m,equipment_over_1m,fixed_asset_fund_land_building,firewall_equipment,siem_subsidy,data_center_subsidy,wifi_satit_subsidy,general_subsidy,reserve_fund,development_fund_contribution,staff_development_fund,specific_grant,general_grant
2023-01,EXPENSE,81234,102345,93456,22451,50123,113245,30567,98765,41234,55321,67890,123456,45678,98765,54321,87654,34567,23456,76543,65432,45678
2023-01,BALANCE,918766,897655,906544,977549,949877,886755,969433,901235,958766,944679,932110,876544,954322,901235,945679,912346,965433,976544,923457,934568,954322
2023-02,EXPENSE,74567,113456,84532,33210,42345,104567,28901,87654,52345,61234,74567,34567,92345,83456,56789,93456,45678,34567,65432,54321,56789
2023-02,BALANCE,844199,784199,822012,944339,907532,782188,940532,813581,906421,883445,857543,841977,861977,817779,888890,818890,919755,941977,858025,880247,897533
2023-03,EXPENSE,92345,95432,101234,45678,53421,87654,34567,99876,33456,72345,81234,93456,55678,74567,45678,98765,56789,45678,54321,67890,65432
2023-03,BALANCE,751854,688767,720778,898661,854111,694534,905965,713705,872965,811100,776309,748521,806299,743212,843212,720125,862966,896299,803704,812357,832101
2023-04,EXPENSE,65432,123456,73456,55678,98765,76543,34567,44567,55678,66789,23456,45678,98765,54321,56789,87654,34567,76543,65432,34567,87654
2023-04,BALANCE,686422,565311,647322,842983,755346,617991,871398,669138,817287,744311,752853,702843,707534,688891,786423,632471,828399,819756,738272,777790,744447
2023-05,EXPENSE,113456,134567,124567,66789,34567,45678,23456,33456,66789,77890,34567,123456,34567,66789,77890,45678,56789,66789,45678,56789,98765
2023-05,BALANCE,572966,430744,522755,776194,720779,572313,847942,635682,750498,666421,718286,579387,672967,622102,708533,586793,771610,752967,692594,721001,645682
2023-06,EXPENSE,45678,56789,98765,34567,87654,93456,45678,55678,99876,88765,56789,98765,66789,55678,87654,76543,65432,77654,88765,66543,55432
2023-06,BALANCE,527288,373955,423990,741627,633125,478857,802264,570004,650622,577656,661497,480622,606178,566424,620879,510250,706178,675313,603829,654458,590250
2023-07,EXPENSE,98765,123456,87654,34567,45678,56789,34567,45678,87654,76543,98765,87654,23456,98765,45678,56789,34567,45678,87654,56789,34567
2023-07,BALANCE,428523,250499,336336,707060,587447,422068,767697,524326,562968,501113,562732,392968,582722,467659,575201,453461,671611,629635,516175,597669,555683
2023-08,EXPENSE,34567,98765,56789,87654,76543,34567,23456,87654,34567,98765,45678,34567,98765,87654,76543,45678,56789,34567,45678,56789,87654
2023-08,BALANCE,393956,151734,279547,619406,510904,387501,744241,436672,528401,402348,517054,358401,483957,380005,498658,407783,614822,595068,470497,540880,468029
2023-09,EXPENSE,45678,56789,34567,45678,56789,98765,34567,87654,76543,45678,56789,45678,23456,56789,34567,98765,45678,56789,45678,34567,56789
2023-09,BALANCE,348278,94945,244980,573728,454115,288736,709674,349018,451858,356670,460265,312723,460501,323216,464091,309018,569144,538279,424819,506313,411240
2023-10,EXPENSE,87654,76543,98765,56789,45678,87654,56789,98765,34567,45678,76543,87654,56789,34567,45678,98765,34567,45678,98765,87654,34567
2023-10,BALANCE,260624,18402,146215,516939,408437,201082,652885,250253,417291,310992,383722,225069,403712,288649,418413,210253,534577,492601,326054,418659,376673
2023-11,EXPENSE,34567,45678,56789,34567,45678,34567,98765,87654,76543,34567,23456,56789,45678,34567,98765,34567,45678,56789,45678,56789,98765
2023-11,BALANCE,226057,-27276,89426,482372,362759,166515,554120,162599,340748,276425,360266,168280,358034,254082,319648,175686,488899,435812,280376,361870,277908
2023-12,EXPENSE,98765,87654,45678,98765,56789,45678,87654,76543,65432,56789,87654,98765,87654,56789,45678,34567,98765,34567,45678,56789,87654
2023-12,BALANCE,127292,-114930,43748,383607,305970,120837,466466,86056,275316,219636,272612,69515,270380,197293,273970,141119,390134,401245,234698,305081,190254
