period_month,transaction_type,wifi_subsidy,operating_compensation,operating_expense,operating_material,utilities,ms365_subsidy,staff_salary_special,staff_salary_government,equipment_under_1m,equipment_over_1m,fixed_asset_fund_land_building,firewall_equipment,siem_subsidy,data_center_subsidy,wifi_satit_subsidy,general_subsidy,reserve_fund,development_fund_contribution,staff_development_fund,specific_grant,general_grant
2024-01,EXPENSE,90218,125896,114378,23609,49998,118595,28551,109765,44953,26176,78299,137852,46938,126577,54630,94670,35532,29606,99079,95171,32292
2024-01,BALANCE,909782,874104,885622,976391,950002,881405,971449,890235,955047,973824,921701,862148,953062,873423,945370,905330,964468,970394,900921,904829,967708
2024-02,EXPENSE,77762,134421,31577,48232,41963,142413,124959,88502,84573,54882,148827,20837,102920,132417,93015,115048,107489,139389,44652,24201,93155
2024-02,BALANCE,832020,739683,854045,928159,908039,738992,846490,801733,870474,918942,772874,841311,850142,741006,852355,790282,856979,831005,856269,880628,874553
2024-03,EXPENSE,116617,108374,119817,55652,52958,46169,71828,114851,22632,91159,125109,148187,112071,74274,45041,145220,110263,123434,47418,107047,87308
2024-03,BALANCE,715403,631309,734228,872507,855081,692823,774662,686882,847842,827783,647765,693124,738071,666732,807314,645062,746716,707571,808851,773581,787245
2024-04,EXPENSE,48057,146549,83392,65632,143593,65294,48857,34830,63161,104914,23519,48275,139259,61467,62018,88468,63781,134778,93341,29633,113017
2024-04,BALANCE,667346,484760,650836,806875,711488,627529,725805,652052,784681,722869,624246,644849,598812,605265,745296,556594,682935,572793,715510,743948,674228
2024-05,EXPENSE,131568,148020,132427,72349,20450,21627,39494,30304,73916,112106,59600,146958,30833,82653,85335,59022,64438,84439,75362,87649,126527
2024-05,BALANCE,535778,336740,518409,734526,691038,605902,686311,621748,710765,610763,564646,497891,567979,522612,659961,497572,618497,488354,640148,656299,547701
2024-06,EXPENSE,20339,53734,103026,38639,105212,124800,60037,46874,133797,133014,78318,127989,89923,68528,111333,93977,87492,114780,134172,80626,52872
2024-06,BALANCE,515439,283006,415383,695887,585826,481102,626274,574874,576968,477749,486328,369902,478056,454084,548628,403595,531005,373574,505976,575673,494829
2024-07,EXPENSE,115329,143781,97293,31467,49631,27446,100427,40608,98114,75959,133771,134167,29837,136069,68926,54393,47657,62523,121580,60388,28837
2024-07,BALANCE,400110,139225,318090,664420,536195,453656,525847,534266,478854,401790,352557,235735,448219,318015,479702,349202,483348,311051,384396,515285,465992
2024-08,EXPENSE,28915,124510,70090,89708,106259,31115,32883,93291,24098,112594,45295,36185,140198,122972,128052,138476,87678,33626,91976,106178,70633
2024-08,BALANCE,371195,14715,248000,574712,429936,422541,492964,440975,454756,289196,307262,199550,308021,195043,351650,210726,395670,277425,292420,409107,395359
2024-09,EXPENSE,25852,24464,57472,44030,69881,126414,49398,105117,115663,50626,91898,51988,35443,86062,43570,136148,81045,85360,91635,83531,108001
2024-09,BALANCE,345343,-9749,190528,530682,360055,296127,443566,335858,339093,238570,215364,147562,272578,108981,308080,74578,314625,192065,200785,325576,287358
2024-10,EXPENSE,94848,83974,101932,51742,40990,95754,113124,147935,46049,37960,71181,81402,71063,91903,32421,123123,97326,63027,102867,75013,84027
2024-10,BALANCE,250495,-93723,88596,478940,319065,200373,330442,187923,293044,200610,144183,66160,201515,17078,275659,-48545,217299,129038,97918,250563,203331
2024-11,EXPENSE,24306,29578,52088,26454,31781,27388,141928,119034,121211,39820,25158,54637,77076,60743,139332,40518,100381,106321,101315,92158,136984
2024-11,BALANCE,226189,-123301,36508,452486,287284,172985,188514,68889,171833,160790,119025,11523,124439,-43665,136327,-89063,116918,22717,-3397,158405,66347
2024-12,EXPENSE,133928,108256,39471,139835,61645,59473,128549,112836,89400,53626,105799,149430,137253,27988,56164,24692,141056,27104,23178,38922,133435
2024-12,BALANCE,92261,-231557,-2963,312651,225639,113512,59965,-43947,82433,107164,13226,-137907,-12814,-71653,80163,-113755,-24138,-4387,-26575,119483,-67088
